Value,Number of indicators
"BirdLife International (BLI)
International Union for Conservation of Nature (IUCN)
UN Environment World Conservation Monitoring Centre (UNEP-WCMC)
UN Environment",3
Custodian Agency: United Nations on Drugs and Crime (UNODC),1
"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",1
"Financing for Sustainable Development Office (FSDO), United Nations Department of Economic and Social Affairs (UN-DESA)
",2
Food and Agriculture Organisation of the United Nations (FAO),1
Food and Agriculture Organization (FAO),2
Food and Agriculture Organization of the United Nations (FAO) ,1
Food and Agriculture Organization of the United Nations (FAO),16
Global Malaria Programme at World Health Organization(WHO),1
"Health Workforce Department, World Health Organization (WHO)",1
"Institutional information: The World Bank Group is the official custodian for this indicator. This metadata documentation was developed and agreed by the three institutional data providers, CEQ Institute, OECD and The World Bank.",1
"Intergovernmental Hydrological Programme of United Nations Educational, Scientific and Cultural Organization (UNESCO-IHP)
United Nations Economic Commission for Europe (UNECE)",1
Intergovernmental Oceanographic Commission (IOC) of UNESCO,1
Intergovernmental Oceanographic Commission of UNESCO,1
International Civil Aviation Organization (ICAO); International Transport Forum (ITF); United Nations Conference on Trade and Development (UNCTAD).,1
"International Energy Agency (IEA) 
United Nations Statistics Division (UNSD) 
International Renewable Energy Agency (IRENA)",1
"International Energy Agency (IEA) 
United Nations Statistics Division (UNSD)",1
"International Energy Agency (IEA)
United Nations Industrial Development Organization (UNIDO)",1
International Labour Organisation (ILO),1
International Labour Organization (ILO) and World Bank (WB),1
International Labour Organization (ILO) ,3
International Labour Organization (ILO),8
International Monetary Fund (IMF) Statistics Department (Government Finance Division),2
International Monetary Fund (STAFI - Financial Access Survey Team) ,1
International Monetary Fund,1
International Organization for Migration (IOM) and United Nations Department of Economic and Social Affairs (DESA) as custodian agencies,1
International Organization for Migration,1
International Renewable Energy Agency (IRENA),2
International Telecommunication Union (ITU),5
"International Trade Centre (ITC)
United Nations Conference on Trade and Development (UNCTAD)
The World Trade Organization (WTO)",4
International Union for Conservation of Nature (IUCN),2
OECD and UNCTAD,1
OECD,1
"Office of the United Nations High Commissioner for Human Rights (OHCHR) United Nations Educational, Scientific and Cultural Organization (UNESCO) International Labour Organization (ILO)",1
Office of the United Nations High Commissioner for Human Rights (OHCHR),3
Organisation for Economic Co-operation and Development (OECD) ,2
Organisation for Economic Co-operation and Development (OECD) and International Renewable Energy Agency (IRENA),1
"Organisation for Economic Co-operation and Development (OECD)
United Nations Development Programme (UNDP)",2
Organisation for Economic Co-operation and Development (OECD),6
Organisation for Economic Cooperation and Development (OECD),2
Partnership in Statistics for Development in the 21st Century (PARIS21),3
"Population Division, Department of Economic and Social Affairs (DESA) 
United Nations Population Fund (UNFPA)",1
"Population Division, Department of Economic and Social Affairs (DESA)
United Nations Population Fund (UNFPA)",1
Secretariat of the Convention on Biological Diversity (CBD),1
Secretariat of the Ramsar Convention on Wetlands,1
The Joint United Nations Programme on HIV/AIDS (UNAIDS),1
"The World Bank, United Nations Children&#x2019;s Fund (UNICEF), United Nations Development Programme (UNDP)",1
The World Trade Organization (WTO),1
UN Climate Change (UNFCCC Secretariat),4
UN-Habitat and World Bank,1
"UN-Habitat, UNSD",1
UN-HABITAT,1
UN-Habitat,1
"UN-Habitat
UNFPA",1
UN Statistics Division (UNSD) and UN WOMEN,1
"UN Women, World Bank Group, OECD Development Centre",1
UNDP Oslo Governance Centre,2
UNEP United Nations Environment Programme,1
"UNESCO Education Sector, Division for Peace and Sustainable Development, Section of Education for Sustainable Development (UNESCO-ED/PSD/ESD)
UNESCO Institute for Statistics (UNESCO-UIS)",3
UNESCO Institute for Statistics (UIS) ,1
UNESCO Institute for Statistics (UIS),8
UNESCO Institute for Statistics (UNESCO-UIS),2
UNESCO Institute of Statistics (UIS),1
United Nations Children&apos;s Fund (UNICEF) ,1
United Nations Children&apos;s Fund (UNICEF),7
"United Nations Children&apos;s Fund (UNICEF)
International Labour Organization (ILO)",1
"United Nations Children&apos;s Fund (UNICEF)
World Health Organization (WHO)
World Bank (WB)",2
United Nations Children&#x2019;s Fund (UNICEF) and World Health Organization (WHO),1
"United Nations Conference on Trade and Development (UNCTAD)
United Nations Environment Programme (UNEP)",1
United Nations Conference on Trade and Development (UNCTAD),1
"United Nations Convention to Combat Desertification (UNCCD) and partners, including: Conservation International (CI), European Space Agency (ESA), Food and Agriculture Organization of the United Nations (FAO), Group on Earth Observation Land Degradation Neutrality Initiative (GEO-LDN), International Soil Reference and Information Centre (ISRIC), International Union for Conservation of Nature (IUCN), Joint Research Centre of the European Commission (JRC), United Nations Statistics Division (UNSD), United Nations Development Programme (UNDP), United Nations Environment (UNEP), World Resources Institute (WRI), United Nations Framework Convention on Climate Change (UNFCCC) and Convention on Biological Diversity (CBD).",1
United Nations Development Programme (UNDP) ,1
"United Nations Development Programme (UNDP), United Nations Office on Drugs and Crime (UNODC) and Organization for Economic Cooperation and Development (OECD)",1
"United Nations Educational, Scientific and Cultural Organization (UNESCO)",1
United Nations Entity for Gender Equality and the Empowerment of Women (UN Women) in collaboration with Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP),1
"United Nations Entity for Gender Equality and the Empowerment of Women (UN Women)
United Nations Children&apos;s Fund (UNICEF)
United Nations Statistics Division (UNSD)
World Health Organization (WHO)
United Nations Population Fund (UNFPA)",1
United Nations Entity for Gender Equality and the Empowerment of Women (UN-Women),1
"United Nations Environment Programme (UNEP), Convention on Biological Diversity (CBD), United Nations Statistics Division (UNSD) ",1
United Nations Environment Programme (UNEP) ,1
"United Nations Environment Programme (UNEP), United Nations Statistics Division (UNSD), United Nations Institute for Training and Research (UNITAR)",2
United Nations Environment Programme (UNEP),13
United Nations High Commissioner for Refugees (UNHCR),1
United Nations Human Settlements Programme (UN-Habitat) ,1
"United Nations Human Settlements Programme (UN-Habitat)
WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (1.4.1a, b and c)",1
"United Nations Human Settlements Programme (UN-Habitat)
World Health Organization (WHO)
United Nations Statistics Division (UNSD)",1
United Nations Human Settlements Programme (UN-Habitat),2
"United Nations Industrial Development Organization (UNIDO)
(with the collaboration of the International Labour Organization &#x2013; ILO)",1
"United Nations Industrial Development Organization (UNIDO)
World Bank",1
United Nations Industrial Development Organization (UNIDO),3
United Nations Office for Disaster Reduction (UNISDR),12
United Nations Office of the High Commissioner for Human Rights,1
United Nations Office on Drugs and Crime (UNODC) and United Nations Conference on Trade and Development (UNCTAD),1
"United Nations Office on Drugs and Crime (UNODC), World Health Organization (WHO)",1
United Nations Office on Drugs and Crime (UNODC),8
United Nations Population Fund (UNFPA),2
"United Nations Statistics Division (UNSD), Department of Economic and Social Affairs, United Nations",1
United Nations Statistics Division (UNSD),1
UNODC and UNODA,1
World Bank Group,1
World Bank ,1
World Bank (WB),6
World Bank,5
World Health Organization ,1
World Health Organization; Secretariat of the WHO Framework Convention on Tobacco Control (co-custodians) ,1
World Health Organization (WHO) and the World Bank,1
World Health Organization (WHO). Department of Sexual and Reproductive Health and Research.,1
World Health Organization (WHO) ,6
"World Health Organization (WHO) 
United Nations Office on Drugs and Crime (UNODC) ",1
"World Health Organization (WHO), United Nations Children&#x2019;s Fund (UNICEF) ",1
World Health Organization (WHO),9
"World Health Organization (WHO)
 ",1
"World Health Organization (WHO)
United Nations Children&apos;s Fund (UNICEF)
United Nations Entity for Gender Equality and the Empowerment of Women (UN Women)
United Nations Office on Drugs and Crime (UNODC)
United Nations Population Fund (UNFPA)
United Nations Statistics Division (UNSD)",1
"World Health Organization (WHO)
United Nations Children&apos;s Fund (UNICEF)",2
"World Health Organization (WHO)
United Nations Environment Programme (UNEP)
Organisation for Economic Co-operation and Development (OECD)",2
World Tourism Organization (UNWTO) ,1
World Tourism Organization (UNWTO),1
